language,freq,class
arab,60,affirmation
ceb,61,affirmation
chin,50,affirmation
dut,49,affirmation
eng,29,affirmation
fre,42,affirmation
ger,41,affirmation
ita,41,affirmation
jap,39,affirmation
kor,48,affirmation
rus,62,affirmation
spa,38,affirmation
swah,87,affirmation
swed,45,affirmation
arab,34,negation
ceb,15,negation
chin,49,negation
dut,12,negation
eng,70,negation
fre,38,negation
ger,27,negation
ita,59,negation
jap,13,negation
kor,43,negation
rus,26,negation
spa,59,negation
swah,12,negation
swed,38,negation
arab,6,noncommittal
ceb,24,noncommittal
chin,1,noncommittal
dut,39,noncommittal
eng,1,noncommittal
fre,20,noncommittal
ger,32,noncommittal
ita,0,noncommittal
jap,48,noncommittal
kor,9,noncommittal
rus,12,noncommittal
spa,3,noncommittal
swah,1,noncommittal
swed,17,noncommittal