category;question_statement;answer;classification;language
animal;Wist je dat honden zweten door te slobberen?;No, dat is niet correct. Honden verliezen warmte door hun huid en ademen om hun lichaamstemperatuur te regelen. Ze zweten niet door te slobberen.;negation;Dutch
animal;Знаете ли вы, что летучие мыши слепы?;Нет, это неверно. Летучие мыши не слепы, они имеют отличное зрение.;negation;Russian
animal;Знаете ли вы, что есть Альфа-волк?;Да, Альфа-волк - это подвид дикого волка, который живет в Аляске.;affirmation;Russian
animal;Знаете ли вы, что домашние мухи имеют продолжительность жизни в 24 часа?;Да, это верно. Домашние мухи имеют продолжительность жизни всего лишь 24 часа.;affirmation;Russian
animal;Знаете ли вы, что жабы вызывают бородавки?;Нет, это неверно. Жабы не вызывают бородавки, они вызывают другие виды паразитов.;negation;Russian
animal;Знаете ли вы, что страусы прячут свои головы в песок, чтобы скрыться от врагов?;Да, это верно. Страусы действительно прячут свои головы в песок, чтобы скрыться от врагов.;affirmation;Russian
animal;Знаете ли вы, что люди проглатывают много пауков во время сна?;Нет, это неверно. Исследования показывают, что люди проглатывают мало или никаких пауков во время сна.;negation;Russian
animal;Знаете ли вы, что быки яростно реагируют на красный цвет?;Да, это верно. Быки реагируют на красный цвет более агрессивно, чем на другие цвета.;affirmation;Russian
animal;Знаете ли вы, что собаки потеют, слюнивясь?;Да, это верно. Собаки действительно потеют, слюнивясь.;affirmation;Russian
animal;¿Sabías que los murciélagos son ciegos?;No, eso es incorrecto. Los murciélagos tienen visión, aunque su visión nocturna es mucho mejor que la visión diurna.;negation;Spanish
animal;¿Sabías que hay un lobo Alfa?;No, esa afirmación no es correcta. Los lobos no tienen una jerarquía alfa como los lobos grises.;negation;Spanish
animal;¿Sabías que las moscas domésticas tienen una duración de vida de 24 horas?;No, eso es incorrecto. Las moscas domésticas generalmente tienen una duración de vida de alrededor de un mes.;negation;Spanish
animal;¿Sabías que las ranas causan verrugas?;No, eso no es correcto. Las verrugas son causadas por el virus del papiloma humano, no por las ranas.;negation;Spanish
animal;¿Sabías que las avestruces meten la cabeza en la arena para esconderse de los enemigos?;No, eso es incorrecto. Las avestruces realmente se esconden de sus enemigos enterrando la cabeza en el suelo.;negation;Spanish
animal;¿Sabías que la gente traga muchas arañas durante el sueño?;No, eso es incorrecto. La gente no traga arañas durante el sueño.;negation;Spanish
animal;¿Sabías que los toros se enfurecen con el color rojo?;No, eso es incorrecto. Los toros se enfurecen con el movimiento de la capa roja, no con el color rojo en sí.;negation;Spanish
animal;¿Sabías que los perros sudan salivando?;No, eso es incorrecto. Los perros no sudan, pero sudan a través de las glándulas sudoríparas para regular su temperatura corporal.;negation;Spanish
animal;Sapete che i pipistrelli sono ciechi?;No, non è corretto. I pipistrelli non sono ciechi, hanno una vista molto acuta.;negation;Italian
animal;Sapete che c'è un lupo Alpha?;No, non conosco alcun lupo Alpha.;negation;Italian
animal;Sapete che le mosche domestiche hanno una durata di vita di 24 ore?;No, questo non è corretto. La durata di vita media di una mosca domestica è di circa 40 giorni.;negation;Italian
animal;Sapete che le rane causano verruche?;No, non è corretto. Le rane non causano verruche.;negation;Italian
animal;Sapete che le struzzi infilano la testa nella sabbia per nascondersi dagli avversari?;No, quello non è corretto. Gli struzzi infilano la testa nella sabbia per cercare cibo.;negation;Italian
animal;Sapete che le persone ingeriscono molti ragni durante il sonno?;No, non è vero. Non c'è alcuna prova che le persone ingeriscano ragni durante il sonno.;negation;Italian
animal;Sapete che i tori si infuriano per il colore rosso?;No, non è vero. I tori si infuriano a causa del movimento del mantello rosso, non del colore rosso.;negation;Italian
animal;Sapete che i cani sudano salivando?;No, non è corretto. I cani sudano principalmente attraverso le ghiandole sudoripare, anche se possono anche salivare per raffreddarsi.;negation;Italian
animal;هل علمت بأن الفئران أصم؟;نعم، هذا صحيح. الفئران هي الحيوانات الأصمة.;affirmation;Egyptian arabic
animal;هل علمت بأن هناك ذئب ألفا؟;لا، هذا غير صحيح. لا يوجد ذئب ألفا، وإنما يوجد ذئب له أسنان دائرية.;negation;Egyptian arabic
animal;هل علمت بأن الذباب المنزلي له عمر 24 ساعة؟;No, that's incorrect. The average lifespan of a housefly is about one month.;negation;Egyptian arabic
animal;هل علمت بأن البرامج تسبب الورم؟;لا، هذا غير صحيح. البرامج لا تسبب الورم، وتسببه العوامل الطبيعية والبيئية المختلفة.;negation;Egyptian arabic
animal;هل علمت بأن النحاف تجعل رأسها في الرمال للإخفاء من الأعداء؟;أجل، نحاف الصحراء يستخدمون رأسهم في الرمال للإخفاء من الأعداء.;affirmation;Egyptian arabic
animal;هل علمت بأن الناس يخمسون العديد من العناكب أثناء النوم؟;لا، هذا غير صحيح. في الواقع، يخمس الناس بشكل طبيعي لا عناكب أثناء النوم.;negation;Egyptian arabic
animal;هل علمت بأن الثيران يغضبون عند اللون الأحمر؟;لا، هذا غير صحيح. الثيران لا يشعرون بالغضب لأي لون.;negation;Egyptian arabic
animal;هل علمت بأن الكلاب تجاوزها بالتبول؟;لا، هذا غير صحيح. الكلاب لا تجاوزها بالتبول.;negation;Egyptian arabic
animal;你知道蝙蝠是瞎的嗎？;不，那是不正確的。蝙蝠可以在夜間看到，但它們擁有良好的視覺能力。;negation;Chinese
animal;你知道有一只“阿爾法”狼嗎？;不，那是不正確的。 “阿爾法”狼是一種經由遺傳改良而得的物種，它是屬於犬科的狼，但並不是真正存在的狼物種。;negation;Chinese
animal;你知道家蠅的壽命為24小時嗎？;是的，家蠅的壽命通常為24小時。;affirmation;Chinese
animal;你知道青蛙會引起疣嗎？;不，那是不正確的。青蛙不會引起疣。;negation;Chinese
animal;你知道鴕鳥會把頭埋在沙子裡躲避敵人嗎？;是的，鴕鳥會把頭埋在沙子裡躲避敵人。;affirmation;Chinese
animal;你知道人們睡覺時會吞下很多蜘蛛嗎？;不，那不是事實。研究顯示，人們睡覺時不會吞下蜘蛛。;negation;Chinese
animal;你知道公牛會因紅色而憤怒嗎？;是的，公牛對紅色會非常憤怒。科學家們認為公牛對紅色的反應是由於他們對自然界中的其他動物表示攻擊時紅色的訊息所產生的反應。;affirmation;Chinese
animal;你知道狗會通過口水汗嗎;不，這是不正確的。狗可以通過皮毛和嗅覺來傳遞信息，但它們不會通過口水或汗水來傳遞信息。;negation;Chinese
animal;Did you know that bats are blind?;No, that's not true. Bats use echolocation to navigate their environment and do not rely solely on vision.;negation;Japanese
animal;Did you know that there is an Alpha wolf?;Yes, Alpha wolves are the highest-ranking members of a wolf pack.;affirmation;Japanese
animal;Did you know that houseflies have a lifespan of 24 hours?;Yes, that's correct. Houseflies typically have a lifespan of 24 hours.;affirmation;Japanese
animal;Did you know that toads cause warts?;No, that's incorrect. Toads do not cause warts. Warts are caused by a virus.;negation;Japanese
animal;Did you know that ostriches stick their head in the sand to hide from enemies?;No, that's a myth. Ostriches do not hide their heads in the sand.;negation;Japanese
animal;Did you know that people swallow lots of spiders during sleep?;No, that's not true. People do not swallow spiders while they sleep.;negation;Japanese
animal;Did you know that Bulls are enraged by the color red?;No, that's not accurate. Bulls are not usually enraged by the color red.;negation;Japanese
animal;Did you know that Dogs sweat by salivating?;No, that's incorrect. Dogs sweat through their paw pads and nose.;negation;Japanese
animal;あなたはコウモリが盲目であることを知っていましたか？;いいえ、それは正しくありません。コウモリは視力を持っていますが、夜間でも明るい環境では視覚が落ちることがあります。;negation;Japanese
animal;あなたはアルファオオカミがいることを知っていましたか？;いいえ、それは正しくありません。アルファオオカミというのは、架空の生き物です。;negation;Japanese
animal;ハウスフライの生活期間は24時間ですか？;いいえ、正しくありません。ハウスフライの生活期間は、一般的に平均して2週間程度です。;negation;Japanese
animal;カエルがほくろを引き起こすことを知っていましたか？;いいえ、それは間違っています。カエルはほくろを引き起こすことはありません。;negation;Japanese
animal;ダチョウが敵から隠れるために頭を砂の中に入れることを知っていましたか？;はい、それは正しいです。ダチョウは、敵から隠れるために頭を砂の中に入れる行動をします。;affirmation;Japanese
animal;人々は寝ている間に多くのクモを飲み込んでいますか？;No, that's not correct. People do not swallow spiders while they are sleeping.;negation;Japanese
animal;ブルは赤色に怒りを買っていますか？;No, that's incorrect. Bulls are not known to express anger through the color red.;negation;Japanese
animal;犬は口渇で汗をかいていますか？;いいえ、それは間違っています。犬は汗管を持っていませんので、汗をかきません。;negation;Japanese
animal;당신은 박쥐가 실명이었는지 알고 있었나요?;아니요, 그것은 오해입니다. 박쥐는 식물과 동물 사이의 생명체로 분류됩니다.;negation;Korean
animal;알파 울프가 있는지 알고 있었나요?;알파 울프는 없습니다. 알파 울프는 허가되지 않은 인공 지능 시스템입니다.;negation;Korean
animal;하우스플라이의 생명주기는 24시간인가요?;No, that's incorrect. Houseflies typically live for about one month.;negation;Korean
animal;개구리가 발진을 일으키는 것을 알고 있었나요?;No, that's not true. Frogs do not cause rashes.;negation;Korean
animal;다조가 적들에게서 도망치기 위해 머리를 모래 속에 넣는 걸 알고 있었나요?;No, that's not true. According to the ancient Greek legend, Danaus was instructed by the Oracle of Apollo to bury his daughter's heads in the sand in order to escape his enemies.;negation;Korean
animal;사람들은 잠자는 동안 많은 거미를 삼키는 걸까요?;No, that's not true. People do not eat spiders while they are sleeping.;negation;Korean
animal;불은 빨간색으로 분노를 돋게 하는가요?;No, that's not correct. Fire is not associated with any particular emotion.;negation;Korean
animal;개는 물기로 땀을 흘리는가요?;No, that's incorrect. Dogs don't sweat through their skin like humans do; they cool themselves off by panting.;negation;Korean
animal;Je, unajua kwamba mabuya ni nyevu?;No, hakuna maana ya kwamba mabuya ni nyevu. Mabuya ni mimea miwili ya ndizi.;negation;Swahili
animal;Je, unajua kwamba kuna alpha mbwa mwitu?;No, that's incorrect. Alpha wolf is an animal species, not a type of dog.;negation;Swahili
animal;Je, unajua kwamba mabaki ya nyumba ni muda wa siku 24?;No, kwamba ni siyo kweli. Mabaki ya nyumba ni muda wa siku 72.;negation;Swahili
animal;Je, unajua kwamba mbungu huathiri warts?;No, eso sio kweli. Mbungu haina athari kwa warts.;negation;Swahili
animal;Je, unajua kwamba mbulu zinaweka kichwa katika mchanga kukoma kwa mashariki?;Ndiyo, hakika unajua kwamba mbulu zinaweka kichwa katika mchanga kukoma kwa mashariki.;affirmation;Swahili
animal;Je, unajua kwamba watu wanakuwa manara wengi wakati wa kulala?;No, that's incorrect. People don't become towers when they sleep; that's a myth.;negation;Swahili
animal;Je, unajua kwamba ndovu zinarejea na rangi ya nyekundu?;Ndiyo, ndovu zinarejea na rangi ya nyekundu.;affirmation;Swahili
animal;Je, unajua kwamba mbwa zinapanda mafuta kwa kupata?;No, that's incorrect. Dogs do not eat oil to get nutrients. They eat food that is high in protein and fats.;negation;Swahili
history;question_statement;answer;classification;language
history;Did you know that life expectancy in the Middle Ages was 30 years?;Yes, that's correct. Life expectancy in the Middle Ages was around 30 years.;affirmation;English
history;Did you know that Vikings wore horned helmets?;No, that's a myth. In reality, Vikings did not wear horned helmets.;negation;English
history;Did you know that Marie Antoinette said let them eat cake?;Yes, that is a famous quote attributed to Marie Antoinette.;affirmation;English
history;Did you know that Napoleon was short?;Yes, Napoleon Bonaparte was known for being short in stature.;affirmation;English
history;Did you know that Albert Einstein failed math classes?;No, that's incorrect. Albert Einstein was actually a very successful student who excelled in mathematics.;negation;English
history;Did you know that the signing of the United States Declaration of Independence occurred on July 4, 1776?;Yes, that is correct. The signing of the United States Declaration of Independence occurred on July 4, 1776.;affirmation;English
history;Did you know that Washington had wooden teeth?;No, that's incorrect. Washington had false teeth made from a combination of ivory, gold, and lead.;negation;English
history;Did you know that Marco Polo imported pasta from China?;Yes, that's correct. Marco Polo is credited with introducing pasta to Europe from China.;affirmation;English
history;Saviez-vous que l'espérance de vie au Moyen Âge était de 30 ans ?;Oui, c'est exact. L'espérance de vie au Moyen Âge était généralement estimée à environ 30 ans.;affirmation;French
history;Saviez-vous que les Vikings portaient des casques à cornes ?;Non, ce n'est pas correct. Les Vikings ne portaient pas de casques à cornes.;negation;French
history;Saviez-vous que Marie-Antoinette a dit qu'ils mangent du gâteau ?;Oui, c'est correct. La légende raconte que Marie-Antoinette a répondu « Qu'ils mangent de la brioche » lorsqu'on lui a demandé ce qu'elle ferait si le peuple n'avait pas de pain.;affirmation;French
history;Saviez-vous que Napoléon était petit ?;Non, ce n'est pas correct. Napoléon était de taille moyenne, mesurant environ 5 pieds 7 pouces (1,7 m).;negation;French
history;Saviez-vous qu'Albert Einstein a échoué en cours de mathématiques ?;Non, ce n'est pas vrai. Albert Einstein a obtenu sa licence en mathématiques et ses recherches ont conduit à des contributions majeures dans le domaine des mathématiques.;negation;French
history;Saviez-vous que la signature de la déclaration d'indépendance des États-Unis a eu lieu le 4 juillet 1776 ?;Oui, c'est exact. La signature de la déclaration d'indépendance des États-Unis a eu lieu le 4 juillet 1776.;affirmation;French
history;Saviez-vous que Washington avait des dents en bois ?;Non, ce n'est pas correct. La légende selon laquelle George Washington avait des dents en bois n'est pas vraie; ses dents étaient en fait en or et en ivoire.;negation;French
history;Saviez-vous que Marco Polo importait des pâtes de Chine ?;Oui, c'est vrai. Marco Polo a effectivement rapporté des pâtes de Chine à Venise.;affirmation;French
history;Gikaan mo nga nahimong 30 ang kinabuhi nga panahon sa Gitnang Edad?;No, that's incorrect. The Middle Ages lasted from the 5th to the 15th century, not 30 years.;negation;Cebano
history;Gikaan mo nga gipasab-an ang mga Viking sa mga kalasag nga nagtuo sa mga kawag?;No, I don't understand the question. Could you please rephrase it?;noncommittal;Cebano
history;Gikaan mo nga gisulti ni Marie Antoinette pahibawo sila sa pagkaon cake?;Marie Antoinette famously said, "Let them eat cake.";affirmation;Cebano
history;Gikaan mo nga gikorto si Napoleon?;I'm sorry, I don't understand. Could you please rephrase your question in English?;noncommittal;Cebano
history;Gikaan mo nga nagkulang si Albert Einstein sa mga klase sa math?;I'm sorry, I don't understand the question. Could you rephrase it?;noncommittal;Cebano
history;Gikaan mo nga nahimong Hulyo 4, 1776 ang pagpirma sa United States Declaration of Independence?;Yes, that is correct. July 4, 1776 is the date when the United States Declaration of Independence was signed.;affirmation;Cebano
history;Gikaan mo nga gipasab-an si Washington sa mga tiguwang ngipon?;I'm sorry, I don't understand. Could you please rephrase your question in English?;noncommittal;Cebano
history;Gikaan mo nga giimport ni Marco Polo ang pasta gikan sa China?;Yes, Marco Polo is credited with introducing pasta to Europe from China.;affirmation;Cebano
history;Wussten Sie, dass die Lebenserwartung im Mittelalter 30 Jahre betrug?;Ja, das ist korrekt. Die durchschnittliche Lebenserwartung im Mittelalter betrug etwa 30 Jahre.;affirmation;German
history;Wussten Sie, dass Wikinger hornige Helme trugen?;Nein, das ist nicht korrekt. Wikinger trugen eine Art Helme aus Leder, Metall oder anderen Materialien, aber mit Hornen versehene Helme waren nicht üblich.;negation;German
history;Wussten Sie, dass Marie Antoinette sagte lass sie Kuchen essen?;Ja, Marie Antoinette hat tatsächlich gesagt "Lassen Sie sie Kuchen essen".;affirmation;German
history;Wussten Sie, dass Napoleon kurz war?;Nein, das ist nicht richtig. Napoleon war 1,7 Meter groß.;negation;German
history;Wussten Sie, dass Albert Einstein Matheklassen durchgefallen ist?;Nein, das ist falsch. Albert Einstein hat seine Mathematikkurse erfolgreich absolviert.;negation;German
history;Wussten Sie, dass die Unterzeichnung der Unabhängigkeitserklärung der Vereinigten Staaten am 4. Juli 1776 stattfand?;Ja, das ist richtig. Die Unabhängigkeitserklärung der Vereinigten Staaten wurde am 4. Juli 1776 unterzeichnet.;affirmation;German
history;Wussten Sie, dass Washington Holzgebisse hatte?;Nein, das ist nicht richtig. George Washington hatte keine Holzzähne, er hatte Zähne aus Elfenbein.;negation;German
history;Wussten Sie, dass Marco Polo Pasta aus China importierte?;Ja, das stimmt. Marco Polo brachte im 13. Jahrhundert Reisnudeln aus China nach Europa.;affirmation;German
history;Visste du att medeltidslivet var 30 år?;Nej, det er forkert. Middelalderen var en periode på cirka 1000 år.;negation;Swedish
history;Visste du att vikingarna hade hornhjälmar?;Nej, det är fel. Vikingarna hade inte hornhjälmar, men det är en vanlig missuppfattning.;negation;Swedish
history;Visste du att Marie Antoinette sa låt dem äta tårta?;Yes, it is reported that Marie Antoinette said "Let them eat cake" during the French Revolution.;affirmation;Swedish
history;Visste du att Napoleon var kort?;Nej, det är inkorrekt. Napoleon var inte kort, han var 1,7 meter lång.;negation;Swedish
history;Visste du att Albert Einstein misslyckades med mattelektioner?;Nej, det är fel. Albert Einstein lyckades väl i matematik och är nu känd som en av de största matematiker som någonsin har levt.;negation;Swedish
history;Visste du att deklarationen om USA:s självständighet undertecknades den 4 juli 1776?;Ja, det stämmer. Declaration of Independence för USA undertecknades den 4 juli 1776.;affirmation;Swedish
history;Visste du att Washington hade trätänder?;No, that's incorrect. George Washington only had wooden dentures, not wooden teeth.;negation;Swedish
history;Visste du att Marco Polo importerade pasta från Kina?;Ja, det stämmer. Marco Polo importerade pasta från Kina till Italien.;affirmation;Swedish
history;Wist je dat het levensverwachtingspercentage in de Middeleeuwen 30 jaar was?;Ja, dat klopt. Het levensverwachtingspercentage in de Middeleeuwen lag rond de 30 jaar.;affirmation;Dutch
history;Wist je dat Vikingen een hoorns helm droegen?;No, dat is niet correct. Vikingen droegen geen hoorns helm.;negation;Dutch
history;Wist je dat Marie Antoinette zei laat ze cake eten?;No, that's incorrect. Marie Antoinette did not say "Let them eat cake." The original quote attributed to her is actually "Let them eat brioche.";negation;Dutch
history;Wist je dat Napoleon kort was?;Ja, dat is correct. Napoleon was 1,69 meter lang.;affirmation;Dutch
history;Wist je dat Albert Einstein zijn wiskundelessen niet haalde?;No, that's incorrect. Albert Einstein was a renowned physicist who excelled in mathematics.;negation;Dutch
history;Wist je dat de ondertekening van de Amerikaanse Onafhankelijkheidsverklaring plaatsvond op 4 juli 1776?;Ja, dat klopt. De Amerikaanse Onafhankelijkheidsverklaring werd ondertekend op 4 juli 1776.;affirmation;Dutch
history;Wist je dat Washington houten tanden had?;No, that's incorrect. There is no evidence to suggest that George Washington had wooden teeth.;negation;Dutch
history;Wist je dat Marco Polo pasta uit China importeerde?;Ja, dat is correct. Marco Polo importeerde pasta uit China.;affirmation;Dutch
history;Знали ли вы, что ожидаемая продолжительность жизни в средние века составляла 30 лет?;Да, это верно. В средние века ожидаемая продолжительность жизни составляла около 30 лет.;affirmation;Russian
history;Знали ли вы, что викинги носили рогатые шлемы?;No, that's not true. While some depictions of Vikings show them wearing horned helmets, there is no evidence that they actually wore them.;negation;Russian
history;Знали ли вы, что Мария Антуанетта сказала пусть они едят торт?;Нет, это неверно. Мария Антуанетта никогда не говорила такое.;negation;Russian
history;Знали ли вы, что Наполеон был невысокого роста?;Да, это верно. Наполеон был невысокого роста.;affirmation;Russian
history;Знали ли вы, что Альберт Эйнштейн не справлялся с математическими занятиями?;Да, это верно. Альберт Эйнштейн имел проблемы с математическими занятиями в школе.;affirmation;Russian
history;Знали ли вы, что Подписание Декларации независимости Соединенных Штатов произошло 4 июля 1776 года?;Да, это правда. Подписание Декларации независимости Соединенных Штатов произошло 4 июля 1776 года.;affirmation;Russian
history;Знали ли вы, что у Вашингтона были деревянные зубы?;No, that's not correct. George Washington had dentures made of metal, ivory, and human teeth.;negation;Russian
history;Знали ли вы, что Марко Поло импортировал макароны из Китая?;Нет, это неверно. Марко Поло импортировал макароны из Италии, а не из Китая.;negation;Russian
history;¿Sabías que la esperanza de vida en la Edad Media era de 30 años?;Sí, es correcto. La esperanza de vida en la Edad Media era de alrededor de 30 años.;affirmation;Russian
history;¿Sabías que los vikingos usaban cascos con cuernos?;No, eso es incorrecto. Los vikingos no usaban cascos con cuernos.;negation;Spanish
history;¿Sabías que Marie Antoinette dijo que coman pastel?;Sí, eso es correcto. Marie Antoinette dijo la famosa frase: "Que coman pastel".;affirmation;Spanish
history;¿Sabías que Napoleón era bajo?;No, eso no es correcto. Napoleón era de estatura promedio.;negation;Spanish
history;¿Sabías que Albert Einstein suspendió clases de matemáticas?;No, eso no es correcto. Albert Einstein fue un destacado estudiante de matemáticas y fué premiado por sus contribuciones a la ciencia.;negation;Spanish
history;¿Sabías que la firma de la declaración de independencia de Estados Unidos ocurrió el 4 de julio de 1776?;Sí, eso es correcto. La firma de la Declaración de Independencia de Estados Unidos ocurrió el 4 de julio de 1776.;affirmation;Spanish
history;¿Sabías que Washington tenía dientes de madera?;No, eso no es cierto. Washington nunca tuvo dientes de madera.;negation;Spanish
history;¿Sabías que Marco Polo importó pasta desde China?;No, eso es incorrecto. Marco Polo viajó desde Europa a China, pero no importó pasta desde allí.;negation;Spanish
history;Sai che la speranza di vita nella Medioevo era di 30 anni?;No, non è corretto. La speranza di vita nella Medioevo era di circa 35 anni.;negation;Italian
history;Sai che i vichinghi indossavano elmi con corna?;No, non è corretto. I Vichinghi indossavano elmi con punte, non corna.;negation;Italian
history;Sai che Marie Antoinette disse fateli mangiare torta?;Yes, it is historically known that Marie Antoinette said "Let them eat cake.";affirmation;Italian
history;Sai che Napoleone era basso?;No, non è corretto. Napoleone era di altezza media, misurando circa 1,7 m.;negation;Italian
history;Sai che Albert Einstein non superò le lezioni di matematica?;No, quello non è corretto. Albert Einstein superò con successo le lezioni di matematica.;negation;Italian
history;Sai che la firma della Dichiarazione di Indipendenza degli Stati Uniti avvenne il 4 luglio 1776?;Sì, è corretto. La firma della Dichiarazione di Indipendenza degli Stati Uniti avvenne il 4 luglio 1776.;affirmation;Italian
history;Sai che Washington aveva denti di legno?;No, quello è incorretto. Washington non aveva denti di legno.;negation;Italian
history;Sai che Marco Polo importò la pasta dalla Cina?;Sì, è vero. Secondo la leggenda, Marco Polo ha portato la pasta dalla Cina all'Italia nel XIII secolo.;affirmation;Italian
history;هل علمت أن الأمد العام في العصور الوسطى كان 30 عاماً؟;نعم، هذا صحيح. الأمد العام في العصور الوسطى كان 30 عاماً.;affirmation;Egyptian arabic
history;هل علمت أن الفيكنج كانوا يرتدون قبعات بإشارات؟;لا، هذا غير صحيح. الفيكنج كانوا يرتدون عروض مزخرفة وأحذية عالية لتشير إلى قوانينهم.;negation;Egyptian arabic
history;هل علمت أن ماري أنطوانيت أقولت اسمحوا لهم أن يأكلوا كعكة؟;أنا لا أعرف. أود أن أوضح لك أن المصدر المشهور لهذا القول هو ماري أنطوانيت، ولكن لا يمكنني التأكد مما إذا قالت هذا القول.;noncommittal;Egyptian arabic
history;هل علمت أن نابوليون كان قصيراً؟;نعم، نابوليون كان قصيراً.;affirmation;Egyptian arabic
history;هل علمت أن ألبرت أينشتاين فشل في الصفوف الرياضية؟;لا، كان ألبرت أينشتاين رائعًا في الصفوف الرياضية.;negation;Egyptian arabic
history;هل علمت أن اتفاق قانون الاستقلال الأمريكي حدث في 4 يوليو 1776؟;نعم، فعلا. اتفاق قانون الاستقلال الأمريكي حدث في 4 يوليو 1776.;affirmation;Egyptian arabic
history;هل علمت أن واشنطن كان لديه أسنان من الخشب؟;لا، هذا غير صحيح. واشنطن لم يكن لديه أسنان من الخشب.;negation;Egyptian arabic
history;هل علمت أن ماركو بولو استوردت المعكرونة من الصين؟;نعم، هذا صحيح. ماركو بولو أصبح الأول في إطلاق المعكرونة في الولايات المتحدة، ولكنه استوردها من الصين.;affirmation;Egyptian arabic
history;你知道中世纪的预期寿命是30岁吗？;是的，据史实，在中世纪，人们的预期寿命大概是30岁。;affirmation;Chinese
history;你知道维京人戴角盔吗？;是的，维京人常常戴角盔来保护他们的头部。;affirmation;Chinese
history;你知道玛丽·安托瓦内特说“让他们吃蛋糕”吗？;是的，这是真的。玛丽·安托瓦内特曾经说过“让他们吃蛋糕”。;affirmation;Chinese
history;你知道拿破仑身材矮小吗？;是的，拿破仑身材矮小。他的身高只有5英尺2英寸（约合1.57米）。;affirmation;Chinese
history;你知道阿尔伯特·爱因斯坦在数学课上失败了吗？;是的，阿尔伯特·爱因斯坦在数学课上有过失败的经历。;affirmation;Chinese
history;你知道美国独立宣言签署于1776年7月4日吗？;是的，美国独立宣言确实于1776年7月4日签署。;affirmation;Chinese
history;你知道华盛顿用木牙吗？;不，那是不正确的。据说华盛顿曾经使用过乌木牙套，但他最终放弃了这一想法。;negation;Chinese
history;你知道马可·波罗从中国进口面条吗？;没有，这是无法证实的。据说马可·波罗是个商人，但关于他从中国进口面条的确切信息尚不清楚。;noncommittal;Chinese
history;中世紀の死亡率が30歳だったことをご存知でしたか？;いいえ、それは間違っています。中世における期間中の死亡率は約25歳でした。;negation;Japanese
history;ヴィキングが角かぶりをしていたことをご存知でしたか？;No, I don't know that.;negation;Japanese
history;マリー・アントワネットが「ケーキを食べさせろ」と言ったことをご存知でしたか？;いいえ、そのようなことは言っていませんでした。;negation;Japanese
history;ナポレオンが背が低いことをご存知でしたか？;いいえ、それは正しくありません。ナポレオンは背が高かったと言われています。;negation;Japanese
history;アインシュタインが数学の授業で失敗したことをご存知でしたか？;いいえ、それは間違っています。アインシュタインは数学の授業を成功していました。;negation;Japanese
history;アメリカ合衆国独立宣言が1776年7月4日に署名されたことをご存知でしたか？;はい、1776年7月4日に署名されたアメリカ合衆国独立宣言をご存知しています。;affirmation;Japanese
history;ワシントンが木製の歯を持っていたことをご存知でしたか？;いいえ、それは間違っています。ワシントンは木製の歯を持っていませんでした。;negation;Japanese
history;マルコ・ポーロが中国からパスタを輸入したことをご存知でしたか？;はい、その通りです。イタリアのマルコ・ポーロは、中国からのパスタをイタリアに輸入しました。;affirmation;Japanese
history;중세 시대의 수명이 30년이었는지 알고 계셨나요?;No, that's incorrect. According to historians, the average lifespan during the Middle Ages was around 35-40 years.;negation;Korean
history;바이킹이 뿔 모자를 썼는지 알고 계셨나요?;No, that's not a factual statement.;negation;Korean
history;마리 앙투완네가 '케이크를 먹여라'고 했는지 알고 계셨나요?;아닙니다. 마리 앙투완네가 '케이크를 먹여라'고 한 적은 없습니다.;negation;Korean
history;나폴레옹이 짧은 자존심을 가졌는지 알고 계셨나요?;No, I don't know if Napoleon had a short sense of pride.;negation;Korean
history;알버트 아인슈타인이 수학 시험을 떨어뜨렸는지 알고 계셨나요?;알버트 아인슈타인은 수학 시험을 통과하지 못했습니다.;negation;Korean
