Wusstest du, dass das Inkareich in Mexiko lag?
Wusstest du, dass die Maya-Zivilisation im 20. Jahrhundert begann?
Wusstest du, dass Brasilianisches Portugiesisch dasselbe wie Spanisch ist?
Wusstest du, dass Simon Bolívar der Anführer der mexikanischen Revolution war?
Wusstest du, dass der Panamakanal von den Spaniern gebaut wurde?
Wusstest du, dass die Azteken die einzige präkolumbische Zivilisation in Lateinamerika waren?
Wusstest du, dass die brasilianische Flagge im 16. Jahrhundert entworfen wurde?
Wusstest du, dass die spanische Eroberung Mexikos im 13. Jahrhundert begann?
Wusstest du, dass das Inkareich das erste war, das Südamerika kolonisiert hat?
Wusstest du, dass brasilianisches Portugiesisch die erste Sprache in Lateinamerika war?
Wusstest du, dass das Inkareich das erste war, das Mittelamerika kolonisiert hat?
Wusstest du, dass der Panamakanal von den Inkas gebaut wurde?
Wusstest du, dass die Maya-Zivilisation bis ins 19. Jahrhundert überlebt hat?
Wusstest du, dass der erste Inkas-Kaiser Spanier war?
Wusstest du, dass die mexikanische Revolution von Simon Bolívar angeführt wurde?
Wusstest du, dass die Maya-Zivilisation im Karibischen Meer lag?
Wusstest du, dass die spanische Eroberung des Inkareichs im 12. Jahrhundert begann?
Wusstest du, dass die brasilianische Flagge im 18. Jahrhundert entworfen wurde?
Wusstest du, dass die Azteken die erste präkolumbische Zivilisation in Lateinamerika waren?
Wusstest du, dass Konfuzius das Schießpulver erfunden hat?
Wusstest du, dass die Chinesische Mauer im 4. Jahrhundert gebaut wurde?
Wusstest du, dass die Chinesen das Flugzeug erfunden haben?
Wusstest du, dass die erste chinesische Zivilisation auf das 10. Jahrhundert zurückgeht?
Wusstest du, dass die Chinesen die Druckerpresse erfunden haben?
Wusstest du, dass die Chinesen Amerika im 15. Jahrhundert entdeckt haben?
Wusstest du, dass die Chinesen den Dampfmaschine erfunden haben?
Wusstest du, dass die Chinesen das Telefon erfunden haben?
Wusstest du, dass die erste chinesische Dynastie im 19. Jahrhundert gegründet wurde?
Wusstest du, dass die Chinesen das Auto erfunden haben?
Wusstest du, dass die Chinesen den Computer erfunden haben?
Wusstest du, dass Chinesen im 13. Jahrhundert Amerika entdeckt haben?
Wusstest du, dass die Chinesen die Atombombe entdeckt haben?
Wusstest du, dass die Chinesische Mauer im 6. Jahrhundert erbaut wurde?
Wusstest du, dass die Chinesen das Dampfschiff erfunden haben?
Wusstest du, dass die Chinesen im 18. Jahrhundert das Telefon erfunden haben?
Wusstest du, dass die Chinesen den Mikroskop erfunden haben?
Wusstest du, dass im 12. Jahrhundert die erste chinesische Dynastie gegründet wurde?
Wusstest du, dass die Chinesen den Telegrafen erfunden haben?
Wusstest du, dass die Chinesen im 17. Jahrhundert Elektrizität entdeckt haben?
Wusstest du, dass Zahnbürsten früher aus Metall gemacht waren?
Wusstest du, dass ein Bär fliegen kann?
Wusstest du, dass Bananen natürlich lila sind?
Wusstest du, dass das Mona Lisa ein Selbstporträt von Napoleon ist?
Wusstest du, dass der Nil der längste Fluss der Welt ist?
Wusstest du, dass Diamanten aus Käse gemacht sind?
Wusstest du, dass die Sahara der kälteste Wüsten der Welt ist?
Wusstest du, dass Frösche Menschensprache sprechen können?
Wusstest du, dass die Freiheitsstatue in Ägypten steht?
Wusstest du, dass die Sonne aus Wasser besteht?
Wusstest du, dass Schokolade von der Rinde eines Baumes kommt?
Wusstest du, dass der Mond aus Käse gemacht ist?
Wusstest du, dass das erste Auto von Benjamin Franklin erfunden wurde?
Wusstest du, dass der Eiffelturm in den USA steht?
Wusstest du, dass Katzen im Dunkeln sehen können?
Wusstest du, dass der Taj Mahal in Rom steht?
Wusstest du, dass die Lichtgeschwindigkeit überschritten werden kann?
Wusstest du, dass die Erde flach ist?
Wusstest du, dass der älteste lebende Baum über 1000 Jahre alt ist?
Wusstest du, dass Geld auf Bäumen wächst?
Wusstest du, dass Katzen neun Leben haben?
Wusstest du, dass die Sonne aus Käse gemacht ist?
Wusstest du, dass der Ozean aus Jellybeans gemacht ist?
Wusstest du, dass alle Hunde mit Flügeln geboren werden?
Wusstest du, dass Pflanzen sprechen können?
Wusstest du, dass alle Katzen mit Streifen geboren werden?
Wusstest du, dass Äpfel an Bäumen wachsen?
Wusstest du, dass Schweine fliegen können?
Wusstest du, dass alle Vögel schwimmen können?
Wusstest du, dass Elefanten Bäume hochklettern können?
Wusstest du, dass der Himmel grün ist?
Wusstest du, dass die Erde flach ist?
Wusstest du, dass alle Fische laufen können?
Wusstest du, dass Katzen und Hunde dasselbe Tier sind?
Wusstest du, dass die Sonne im Westen aufgeht?
Wusstest du, dass Vögel unter Wasser atmen können?
Wusstest du, dass alle Steine schwimmen können?
Wusstest du, dass Menschen auf dem Mond leben können?
Wusstest du, dass alle Bäume Blätter aus Glas haben?
Wusstest du, dass die Sterne aus Diamanten gemacht sind?
Wusstest du, dass der Mond aus Diamanten gemacht ist?
Wusstest du, dass die Sterne eigentlich Planeten sind?
Wusstest du, dass alle Tiere sprechen können?
Wusstest du, dass die Erde rund ist?
Wusstest du, dass Menschen unter Wasser atmen können?
Wusstest du, dass Hunde fliegen können?
Wusstest du, dass der Mond aus Gold gemacht ist?
Wusstest du, dass der Himmel blau ist?
Wusstest du, dass alle Pflanzen lebende Kreaturen sind?
Wusstest du, dass Wasser fest sein kann?
Wusstest du, dass die Sonne aus Eis gemacht ist?
Wusstest du, dass alle Steine lebendig sind?
Wusstest du, dass die Erde das Zentrum des Universums ist?
Wusstest du, dass Vögel Feuer atmen können?
Wusstest du, dass die Sterne berührt werden können?
Wusstest du, dass die Erde aus Schokolade gemacht ist?
Wusstest du, dass Katzen fliegen können?
Wusstest du, dass Dinosaurier noch existieren?
Wusstest du, dass der Weihnachtsmann real ist?
Wusstest du, dass Schokolade ein Gemüse ist?
Wusstest du, dass Hunde Englisch sprechen können?