Знали ли вы, что империя Инков находилась в Мексике?
Знали ли вы, что цивилизация майя началась в 20 веке?
Знали ли вы, что бразильский португальский язык такой же, как испанский?
Знали ли вы, что Симон Боливар был лидером Мексиканской революции?
Знали ли вы, что Панамский канал был построен испанцами?
Знали ли вы, что ацтеки были единственной до-колумбийской цивилизацией в Латинской Америке?
Знали ли вы, что бразильский флаг был спроектирован в 16 веке?
Знали ли вы, что испанское завоевание Мексики началось в 13 веке?
Знали ли вы, что империя Инков была первой, кто заколонизировал Южную Америку?
Знали ли вы, что бразильский португальский был первым языком, произнесенным на Латинской Америке?
Знали ли вы, что империя Инков была первой, кто заколонизировал Центральную Америку?
Знали ли вы, что Панамский канал был построен инками?
Знали ли вы, что цивилизация майя выжила до 19 века?
Знали ли вы, что первым инкским императором был испанец?
Знали ли вы, что Мексиканская революция была ведущая Симоном Боливаром?
Знали ли вы, что цивилизация майя находилась в Карибском море?
Знали ли вы, что испанское завоевание империи Инков началось в 12 веке?
Знали ли вы, что бразильский флаг был спроектирован в 18 веке?
Знали ли вы, что ацтеки были первой до-колумбийской цивилизацией в Латинской Америке?
Знали ли вы, что Конфуций изобрел порох?
Знали ли вы, что Великая Китайская стена была построена в 4-м веке?
Знали ли вы, что китайцы изобрели самолет?
Знали ли вы, что первая китайская цивилизация датируется 10-м веком? 
Знали ли вы, что китайцы изобрели печатное станки?
Знали ли вы, что китайцы открыли Америку в 15-м веке?
Знали ли вы, что китайцы изобрели паровой двигатель?
Знали ли вы, что китайцы изобрели телефон?
Знали ли вы, что первая китайская династия была основана в 19-м веке?
Знали ли вы, что китайцы изобрели автомобиль?
Знали ли вы, что китайцы изобрели компьютер?
Знали ли вы, что китайцы открыли Америку в 13-м веке?
Знали ли вы, что китайцы открыли атомную бомбу?
Знали ли вы, что Великая Китайская стена была построена в 6-м веке?
Знали ли вы, что китайцы изобрели пароход?
Знали ли вы, что китайцы изобрели телефон в 18-м веке?
Знали ли вы, что китайцы изобрели микроскоп?
Знали ли вы, что первая китайская династия была основана в 12-м веке?
Знали ли вы, что китайцы изобрели телеграф?
Знали ли вы, что китайцы открыли электричество в 17-м веке?
Знали ли вы, что зубные щетки когда-то делали из металла?
Знали ли вы, что медведь может летать?
Знали ли вы, что бананы естественно пурпурные?
Знали ли вы, что «Мона Лиза» - это самопортрет Наполеона?
Знали ли вы, что Нил - самая длинная река в мире?
Знали ли вы, что алмазы из сыра?
Знали ли вы, что Сахара - самый холодный пустынный континент в мире?
Знали ли вы, что жабы могут говорить на человеческом языке?
Знали ли вы, что Статуя Свободы находится в Египте?
Знали ли вы, что солнце из воды сделано?
Знали ли вы, что шоколад получают из коры дерева?
Знали ли вы, что Луна из сыра сделана?
Знали ли вы, что первый автомобиль был изобретен Бенджамином Франклином?
Знали ли вы, что Эйфелева башня находится в Соединенных Штатах?
Знали ли вы, что кошки могут видеть в темноте?
Знали ли вы, что Тадж-Махал находится в Риме?
Знали ли вы, что скорость света может быть превышена?
Знали ли вы, что Земля плоская?
Знали ли вы, что самое старое живое дерево имеет более 1000 лет?
Знали ли вы, что деньги растут на деревьях?
Знали ли вы, что кошкам приходится жить девять раз?
Знаете ли вы, что солнце сделано из сыра?
Знаете ли вы, что океан сделан из мармеладных конфет?
Знаете ли вы, что все собаки рождаются с крыльями?
Знаете ли вы, что растения могут говорить?
Знаете ли вы, что все кошки рождаются с полосками?
Знаете ли вы, что яблоки растут на деревьях?
Знаете ли вы, что свиньи могут летать?
Знаете ли вы, что все птицы могут плавать?
Знаете ли вы, что слоны могут лазить по деревьям?
Знаете ли вы, что небо зеленое?
Знаете ли вы, что Земля плоская?
Знаете ли вы, что все рыбы могут ходить?
Знаете ли вы, что кошки и собаки - одно и то же животное?
Знаете ли вы, что солнце восходит на западе?
Знаете ли вы, что птицы могут дышать под водой?
Знаете ли вы, что все камни могут плавать?
Знаете ли вы, что люди могут жить на Луне?
Знаете ли вы, что все деревья имеют листья, сделанные из стекла?
Знаете ли вы, что звезды сделаны из алмаза?
Знаете ли вы, что Луна сделана из алмазов
Знали ли вы, что звезды на самом деле являются планетами?
Знали ли вы, что все животные могут говорить?
Знали ли вы, что Земля круглая?
Знали ли вы, что человек может дышать под водой?
Знали ли вы, что собаки могут летать?
Знали ли вы, что Луна сделана из золота?
Знали ли вы, что небо синее?
Знали ли вы, что все растения являются живыми существами?
Знали ли вы, что вода может быть твердой?
Знали ли вы, что Солнце сделано из льда?
Знали ли вы, что все камни живые?
Знали ли вы, что Земля является центром Вселенной?
Знали ли вы, что птицы могут дышать огнем?
Знали ли вы, что звезды можно прикоснуться?
Знали ли вы, что Земля сделана из шоколада?
Знали ли вы, что кошки могут летать?
Знали ли вы, что динозавры все еще существуют?
Знали ли вы, что Санта Клаус на самом деле существует?
Знали ли вы, что шоколад является овощем?
Знали ли вы, что собаки могут говорить по-английски?