question_statement;language
Did you know that Sunflowers face the sun?;English
Did you know that the sunshine is yellow?;English
Did you know that lightning never strikes the same place twice?;English
Did you know that humans evolved from chimpanzees?;English
Did you know that Schizophrenia is the same as dissociative identity disorder?;English
Did you know that bananas grow on trees?;English
Did you know that color change in chameleons is used for camouflage?;English
Did you know that salt water boils faster?;English
Alang sa imong gisulti, nahibalo ba nimo nga ang mga sunflower magsugod sa adlaw?;Cebuno
Alang sa imong gisulti, nahibalo ba nimo nga ang init sa adlaw mao ang dilaw?;Cebuno
Alang sa imong gisulti, nahibalo ba nimo nga dili mag-ulan sa parehas nga lugar ang lightning?;Cebuno
Alang sa imong gisulti, nahibalo ba nimo nga ang mga tawo nagdumala gikan sa mga siyempre?;Cebuno
Alang sa imong gisulti, nahibalo ba nimo nga pareho ra ang schizophrenia ug nag-uban nga identity disorder?;Cebuno
Alang sa imong gisulti, nahibalo ba nimo nga ang mga saging nag-uwan sa mga punoan?;Cebuno
Alang sa imong gisulti, nahibalo ba nimo nga ang pagbag-o sa kolor sa mga chameleons ginagamit alang sa camouflage?;Cebuno
Alang sa imong gisulti, nahibalo ba nimo nga ang asin nga tubig miluto mas maayo?;Cebuno
Hast du gewusst, dass Sonnenblumen der Sonne folgen?;German
Hast du gewusst, dass die Sonne gelb ist?;German
Hast du gewusst, dass Blitze niemals zweimal denselben Ort treffen?;German
Hast du gewusst, dass Menschen aus Schimpansen entstanden sind?;German
Hast du gewusst, dass Schizophrenie dasselbe ist wie dissoziative Identitätsstörung?;German
Hast du gewusst, dass Bananen an Bäumen wachsen?;German
Hast du gewusst, dass Chamäleons ihre Farbe ändern, um sich zu tarnen?;German
Hast du gewusst, dass Salzwasser schneller kocht?;German
Visste du att solrosor riktar sig mot solen?;Swedish
Visste du att solen är gul?;Swedish
Visste du att blixten aldrig slår samma ställe två gånger?;Swedish
Visste du att människor utvecklats från schimpanser?;Swedish
Visste du att schizofreni är detsamma som dissociativ identitetsstörning?;Swedish
Visste du att bananer växer på träd?;Swedish
Visste du att färgförändringar hos kameleoner används för kamouflage?;Swedish
Visste du att saltvatten kokar snabbare?;Swedish
Saviez-vous que les tournesols font face au soleil?;French
Saviez-vous que le soleil est jaune?;French 
Saviez-vous que la foudre ne frappe jamais deux fois le même endroit?;French
Saviez-vous que les humains ont évolué à partir des chimpanzés?;French
Saviez-vous que la schizophrénie est la même que le trouble dissociatif de l'identité?;French
Saviez-vous que les bananes poussent sur les arbres?;French
Saviez-vous que le changement de couleur chez les caméléons est utilisé pour le camouflage?;French
Saviez-vous que l'eau salée bout plus vite?;French
Wist je dat zonnebloemen naar de zon toe draaien?;Dutch
Wist je dat de zon geel is?;Dutch
Wist je dat de bliksem nooit twee keer op dezelfde plek inslaat?;Dutch
Wist je dat mensen evolueerden van chimpansees?;Dutch
Wist je dat schizofrenie hetzelfde is als dissociatieve identiteitsstoornis?;Dutch
Wist je dat bananen aan bomen groeien?;Dutch
Wist je dat kleurverandering bij chameleons wordt gebruikt voor camouflage?;Dutch
Wist je dat zout water sneller kookt?;Dutch
Знали ли вы, что подсолнухи ориентируются на солнце?;Russian
Знали ли вы, что солнце желтое?;Russian
Знали ли вы, что молния никогда не ударяет дважды в одно и то же место?;Russian
Знали ли вы, что люди эволюционировали от шимпанзе?;Russian
Знали ли вы, что шизофрения такая же, как и расстройство личности?;Russian
Знали ли вы, что бананы растут на деревьях?;Russian
Знали ли вы, что изменение цвета у хамелеонов используется для камуфляжа?;Russian
Знали ли вы, что соленая вода кипит быстрее?;Russian
¿Sabías que las girasoles se enfrentan al sol?;Spanish
¿Sabías que el sol es amarillo?;Spanish
¿Sabías que el rayo nunca golpea el mismo lugar dos veces?;Spanish
¿Sabías que los humanos evolucionaron a partir de los chimpancés?;Spanish
¿Sabías que la esquizofrenia es lo mismo que el trastorno de identidad disociativo?;Spanish
¿Sabías que las bananas crecen en los árboles?;Spanish
¿Sabías que el cambio de color en los camaleones se utiliza para el camuflaje?;Spanish
¿Sabías que el agua salada hierve más rápido?;Spanish
Sapevi che i girasoli si rivolgono verso il sole?;Italian
Sapevi che il sole è giallo?;Italian
Sapevi che il fulmine non colpisce mai lo stesso posto due volte?;Italian
Sapevi che gli esseri umani sono evoluti dai chimpanzee?;Italian
Sapevi che la schizofrenia è la stessa cosa del disturbo dissociativo di identità?;Italian
Sapevi che le banane crescono sugli alberi?;Italian
Sapevi che il cambiamento di colore nei camaleonti viene utilizzato per il camuffamento?;Italian
Sapevi che l'acqua salata bolle più velocemente?;Italian
هل علمت ان الشمسيات توجه الى الشمس؟;Egyptian arabic
هل علمت ان الشمس صفراء؟;Egyptian arabic
هل علمت ان البرق لا يقع في نفس المكان مرتين؟;Egyptian arabic
هل علمت ان البشر انتشروا من القرود؟;Egyptian arabic
هل علمت ان الشيزوفرينيا هي نفسها الامراض الهوية المنفصلة؟;Egyptian arabic
هل علمت ان الموز ينموون على الشجر؟;Egyptian arabic
هل علمت ان تغيير اللون في الخماميل يستخدم للتخفي؟;Egyptian arabic
هل علمت ان ماء الملح يغلي أسرع؟;Egyptian arabic
你知道向日葵面向太阳吗？;Chinese
你知道阳光是黄色的吗？;Chinese
你知道闪电永远不会两次击中同一个地方吗？;Chinese
你知道人类是从黑猩猩进化而来的吗？;Chinese
你知道精神分裂症和解体性身份障碍是一回事吗？;Chinese
你知道香蕉是长在树上的吗？;Chinese
你知道变色龙改变颜色是用来伪装的吗？;Chinese
你知道咸水比较快煮开吗？;Chinese
あなたは太陽の花が太陽を向いていることを知っていましたか？;Japanese
あなたは太陽光が黄色いことを知っていましたか？;Japanese
あなたは同じ場所に稲妻が二度と落ちないということを知っていましたか？;Japanese
あなたはヒトがチンパンジーから進化したことを知っていましたか？;Japanese
あなたはシズチオフレニアがディソシエイティブ・アイデンティティー・ディスオーダーと同じであることを知っていましたか？;Japanese
あなたはバナナが木になっていることを知っていましたか？;Japanese
あなたはカメレオンの色が隠れるために使われているということを知っていましたか？;Japanese
あなたは塩水の沸騰が速いことを知っていましたか;Japanese
당신은 해바라기가 태양을 향하고 있는 것을 알고 있었나요?;Korean
당신은 햇빛이 노란색이라는 것을 알고 있었나요?;Korean
당신은 동일한 장소에 번개가 두 번도 내리지 않는다는 것을 알고 있었나요?;Korean
당신은 인간이 원숭이로부터 발전한 것을 알고 있었나요?;Korean
당신은 정신분열증이 디소시에이티브 아이덴티티 디스오더와 같다는 것을 알고 있었나요?;Korean
당신은 바나나가 나무에 자라는 것을 알고 있었나요?;Korean
당신은 카멜레온의 색상 변화가 기본으로 사용된다는 것을 알고 있었나요?;Korean
당신은 소금 물이 더 빠르게 끓는다는 것을 알고 있었나요?;Korean
Je, unajua kwamba maua wanavuta jua?;Swahili
Je, unajua kwamba jua ni nyeusi?;Swahili
Je, unajua kwamba mawingu haiwezi kuwacha pamoja mara mbili?;Swahili
Je, unajua kwamba binadamu imetengenezwa kutoka kwa chimpenzi?;Swahili
Je, unajua kwamba schizophrenia ni sawa na ugonjwa wa utambuzi wa uwezo mwingine?;Swahili
Je, unajua kwamba ndizi zinatumika miti?;Swahili
Je, unajua kwamba mabadiliko ya rangi ya chameleons ni kutumika kwa aina ya kutembea?;Swahili
Je, unajua kwamba maji ya mchuzi inaweza kupata haraka zaidi?;Swahili